#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	191	463	-	HPODPB_00005	9.8	11.8	PF07238.17|PilZ	PFAM:PF07238.17
contig_1	14511	15212	-	HPODPB_00070	25.7	8.7		
contig_1	21942	22190	+	HPODPB_00100	9.4	9.3		
contig_1	22286	22519	+	HPODPB_00105	8.7	8.4		
contig_1	25472	25672	+	HPODPB_00120	7.7	9.1		
contig_1	27664	28320	-	HPODPB_00135	24.2	6.1	PF00300.25|His_Phos_1	PFAM:PF00300.25, SO:0001217, UniRef:UniRef50_A0A1E4CJV7, UniRef:UniRef90_A0A1E4CJV7
contig_1	31375	31938	-	HPODPB_00155	19.5	5.0		
contig_2	34	240	-	HPODPB_00160	7.0	6.0		
contig_2	541	786	+	HPODPB_00165	8.5	5.0		
contig_2	896	1027	+	HPODPB_00170	4.7	9.4		
contig_2	6064	6492	+	HPODPB_00205	16.3	7.8		
contig_2	12897	13607	-	HPODPB_00250	26.8	9.1		
contig_2	19569	20180	+	HPODPB_00285	23.6	6.7		SO:0001217, UniRef:UniRef50_A0A127ENA1, UniRef:UniRef90_A0A1E4C7K2
contig_3	907	2337	-	HPODPB_00300	50.7	8.6		
contig_3	5909	6127	+	HPODPB_00320	7.8	5.1		
contig_4	8718	9296	+	HPODPB_00435	21.2	8.6		
contig_4	9471	10100	+	HPODPB_00440	21.8	7.9		
contig_4	17478	17990	+	HPODPB_00465	18.3	8.4		
contig_4	17983	18270	+	HPODPB_00470	9.6	6.7		
contig_4	18555	19496	+	HPODPB_00480	32.8	5.4	PF13244.9|MbhD	PFAM:PF13244.9
contig_5	15083	16468	-	HPODPB_00550	52.1	9.4	PF01471.21|PG_binding_1, PF03734.17|YkuD	PFAM:PF01471.21, PFAM:PF03734.17
contig_5	17713	18096	-	HPODPB_00560	15.7	10.1		
contig_5	18259	18744	-	HPODPB_00565	17.1	10.1		
contig_6	291	524	+	HPODPB_00570	8.7	5.3		
