#Annotated with Bakta (v1.5.0): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	21	2534	+	PKJNCM_00005		hypothetical protein	
contig_1	cds	2624	3673	+	PKJNCM_00010		GTPase Obg	SO:0001217, UniRef:UniRef50_Q7CW97
contig_1	cds	3681	4589	-	PKJNCM_00015		Protease HtpX-like protein	SO:0001217, UniRef:UniRef50_Q0BWV3
contig_1	cds	4644	4838	+	PKJNCM_00020		Dihydrodipicolinate reductase	SO:0001217, UniRef:UniRef50_A0A0N0K5J3
contig_1	cds	5029	6966	+	PKJNCM_00025		putative potassium transport system protein kup	SO:0001217, UniRef:UniRef50_Q9ABT9
contig_1	cds	7064	8077	+	PKJNCM_00030		hypothetical protein	PFAM:PF13640.9
contig_1	cds	8137	9402	+	PKJNCM_00035		argininosuccinate synthase	EC:6.3.4.5, KEGG:K01940, SO:0001217, UniRef:UniRef50_Q1MEZ8, UniRef:UniRef90_UPI001075138D
contig_1	cds	9412	9996	+	PKJNCM_00040		SMI1-KNR4 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A520XKD7
contig_1	cds	9895	10122	-	PKJNCM_00045		hypothetical protein	
contig_1	cds	10176	10541	-	PKJNCM_00050		PRC domain-containing protein	SO:0001217, UniRef:UniRef50_L0KM66
contig_1	cds	10604	11281	-	PKJNCM_00055		hypothetical protein	
contig_1	cds	11643	11867	+	PKJNCM_00060		hypothetical protein	
contig_1	cds	11924	12190	+	PKJNCM_00065		Usg protein, putative subunit of phosphoribosylanthranilate isomerase	SO:0001217, UniRef:UniRef50_A0A6I6MU09
contig_1	cds	12261	12788	+	PKJNCM_00070		hypothetical protein	
contig_1	cds	12798	13685	-	PKJNCM_00075		TraB family protein	SO:0001217, UniRef:UniRef50_A0A6I6MTT1
contig_1	tRNA	13772	13848	+	PKJNCM_00080	Arg_trna	tRNA-Arg	SO:0001036
contig_1	cds	13960	14988	-	PKJNCM_00085		Phage related integrase	SO:0001217, UniRef:UniRef50_A0A1V1PMF6
contig_1	cds	14985	15266	-	PKJNCM_00090		hypothetical protein	
contig_1	cds	15444	15734	-	PKJNCM_00095		hypothetical protein	
contig_1	cds	16540	17112	-	PKJNCM_00100		hypothetical protein	
contig_1	cds	17988	19520	+	PKJNCM_00105		hypothetical protein	PFAM:PF13576.9
contig_1	cds	19529	20806	+	PKJNCM_00110		hypothetical protein	PFAM:PF08937.14, PFAM:PF13676.9
contig_1	cds	20763	21329	-	PKJNCM_00115		Resolvase/invertase-type recombinase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0M2M181
