#Annotated with Bakta (v1.5.0): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	636	1256	-	DMBONI_00005		hypothetical protein	
contig_1	cds	1253	1996	-	DMBONI_00010		hypothetical protein	PFAM:PF20539.1
contig_1	cds	1993	2265	-	DMBONI_00015		hypothetical protein	
contig_1	cds	2369	3298	+	DMBONI_00020		hypothetical protein	PFAM:PF10882.11
contig_1	cds	3345	4175	+	DMBONI_00025		hypothetical protein	
contig_1	cds	4211	5377	+	DMBONI_00030		GDP-perosamine synthase	SO:0001217, UniRef:UniRef50_A0A5D3I2M4
contig_1	cds	5441	6103	-	DMBONI_00035		hypothetical protein	
contig_1	cds	6142	7026	-	DMBONI_00040		PpiC domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6N6KYI5
contig_1	cds	7490	8545	+	DMBONI_00045		Phenylalanine--tRNA ligase alpha subunit	SO:0001217, UniRef:UniRef50_A9B8B9
contig_1	cds	8545	11076	+	DMBONI_00050		Phenylalanine--tRNA ligase beta subunit	SO:0001217, UniRef:UniRef50_A0A2M7KWH9
contig_1	cds	11273	12967	+	DMBONI_00055		hypothetical protein	
contig_1	cds	12973	13674	+	DMBONI_00060		Putative glycosyltransferase YkoT	SO:0001217, UniRef:UniRef50_A0A1V6FH44
contig_1	cds	13671	14024	+	DMBONI_00065		hypothetical protein	
contig_1	cds	14029	14976	-	DMBONI_00070		Aldo/keto reductase	SO:0001217, UniRef:UniRef50_A0A2E0URZ8
contig_1	cds	14985	16823	-	DMBONI_00075		Methylenetetrahydrofolate reductase (NAD(P)H)	SO:0001217, UniRef:UniRef50_A0A7J9WKL8
contig_1	cds	16867	20397	-	DMBONI_00080		hypothetical protein	PFAM:PF00809.25, PFAM:PF02310.22, PFAM:PF02607.20, PFAM:PF02965.20
contig_1	ncRNA-region	20461	20561	-			SAM riboswitch (S box leader)	RFAM:RF00162, SO:0000140
contig_1	cds	20728	21138	+	DMBONI_00085		Putative integral membrane protein	SO:0001217, UniRef:UniRef50_A1R124
contig_1	cds	21228	22169	-	DMBONI_00090		Ribonuclease Z	SO:0001217, UniRef:UniRef50_A0A524KPL1
contig_1	cds	22301	24580	+	DMBONI_00095		FtsK domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0P6XQV9
contig_1	cds	24633	25775	-	DMBONI_00100		PDZ domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1F8KIX0
contig_1	cds	25801	26706	-	DMBONI_00105		J domain-containing protein	SO:0001217, UniRef:UniRef50_A0A351X3N3
contig_1	cds	26846	28225	+	DMBONI_00110		hypothetical protein	PFAM:PF00512.28, PFAM:PF02518.29, PFAM:PF13188.10
contig_1	cds	28226	28642	-	DMBONI_00115		Putative 2'-deoxynucleoside 5'-phosphate N-hydrolase 1	SO:0001217, UniRef:UniRef50_A0A347ZNC7
contig_1	cds	28639	29616	-	DMBONI_00120		UDP-glucose 4-epimerase	SO:0001217, UniRef:UniRef50_P13226
contig_1	cds	29620	31797	-	DMBONI_00125		DNA helicase	SO:0001217, UniRef:UniRef50_A0A0S8BHA6
contig_1	cds	31896	32453	+	DMBONI_00130		hypothetical protein	
contig_1	cds	32457	33443	+	DMBONI_00135		DNA polymerase III subunit delta'	SO:0001217, UniRef:UniRef50_A0A3N5R7I2
contig_1	cds	33528	35636	+	DMBONI_00140		Histidine kinase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1F8SXU3
contig_1	cds	35636	36499	+	DMBONI_00145		hypothetical protein	
contig_1	cds	36496	37197	+	DMBONI_00150		ENDO3c domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2M8Q328
contig_1	cds	37466	37834	+	DMBONI_00155		hypothetical protein	
contig_1	cds	37745	38437	-	DMBONI_00160		hypothetical protein	PFAM:PF00990.24
contig_2	cds	115	468	+	DMBONI_00165		hypothetical protein	
contig_2	cds	458	1177	+	DMBONI_00170		hypothetical protein	
contig_2	cds	1174	2925	+	DMBONI_00175		hypothetical protein	
contig_2	cds	2927	3994	+	DMBONI_00180		hypothetical protein	
contig_2	cds	4013	4630	+	DMBONI_00185		hypothetical protein	
contig_2	cds	4972	5580	+	DMBONI_00190		hypothetical protein	PFAM:PF08241.15, PFAM:PF08242.15, PFAM:PF13649.9
contig_2	cds	5577	5843	-	DMBONI_00195		Bifunctional 4'-phosphopantothenoylcysteine decarboxylase/phosphopantothenoylcysteine synthetase	SO:0001217, UniRef:UniRef50_A0A7C2C3L5
contig_2	cds	5840	6775	-	DMBONI_00200		hypothetical protein	
contig_2	cds	6779	7651	-	DMBONI_00205		GSH-S-ATP domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2V7L5Z8
contig_2	cds	7651	8415	-	DMBONI_00210		Type III pantothenate kinase	SO:0001217, UniRef:UniRef50_A0A1B2I4D8
contig_2	cds	8423	9256	-	DMBONI_00215		Pantothenate synthetase	SO:0001217, UniRef:UniRef50_A0A2H5ZNM7
contig_2	cds	9253	10161	-	DMBONI_00220		2-dehydropantoate 2-reductase	SO:0001217, UniRef:UniRef50_A0A399ZLS5
contig_2	cds	10142	11041	-	DMBONI_00225		3-methyl-2-oxobutanoate hydroxymethyltransferase	SO:0001217, UniRef:UniRef50_Q8DM44
contig_2	cds	11198	11920	-	DMBONI_00230		Sulfotransfer-1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2U2SA84
contig_2	cds	12009	12245	+	DMBONI_00235		hypothetical protein	
contig_2	cds	12282	14255	-	DMBONI_00240		Peptidase-M6 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1M3KGS0
contig_2	cds	14242	15705	-	DMBONI_00245		hypothetical protein	
contig_2	cds	15702	16439	-	DMBONI_00250		hypothetical protein	
contig_2	cds	16450	17226	-	DMBONI_00255		Glycosyltransferase	SO:0001217, UniRef:UniRef50_A0A7C5A6Q8
