#Annotated with Bakta (v1.5.0): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	700	1131	-	HPLHNM_00005	uspA	universal stress protein UspA	COG:COG0589, COG:T, RefSeq:WP_131089680.1, SO:0001217, UniParc:UPI001036B0DF, UniRef:UniRef100_A0A4Q8TL59, UniRef:UniRef50_A0A4Y4DVG0, UniRef:UniRef90_E1VRN5
contig_1	cds	1189	1887	-	HPLHNM_00010		Carboxymethylenebutenolidase	SO:0001217, UniRef:UniRef50_C5C853, UniRef:UniRef90_A0A0V8HRF3
contig_1	cds	1975	2946	-	HPLHNM_00015		Ribonucleoside hydrolase	EC:3.2.2.2, EC:3.2.2.3, KEGG:K25589, SO:0001217, UniRef:UniRef50_Q27546, UniRef:UniRef90_A0A0V8HRE0
contig_1	cds	3085	4173	+	HPLHNM_00020		LacI family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A653XLI3, UniRef:UniRef90_A0A4Q8TL37
contig_1	cds	4185	4721	-	HPLHNM_00025		Bacteriocin-protection, YdeI or OmpD-Associated	RefSeq:WP_131089676.1, SO:0001217, UniParc:UPI0010359B16, UniRef:UniRef100_A0A4Q8TL36, UniRef:UniRef50_A0A2H1HTX6, UniRef:UniRef90_A0A4Q8TL36
contig_1	tRNA	5067	5150	-	HPLHNM_00030	Leu_trna	tRNA-Leu	SO:0000264
contig_1	cds	5432	6244	+	HPLHNM_00035		DUF2662 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0V8HRC1, UniRef:UniRef90_A0A4Q8TL39
contig_1	cds	6241	6720	+	HPLHNM_00040		FHA domain-containing protein	RefSeq:WP_131089674.1, SO:0001217, UniParc:UPI001036C4B2, UniRef:UniRef100_A0A4Q8TL43, UniRef:UniRef50_A0A0V8I4E7, UniRef:UniRef90_A0A4Q8TL43
contig_1	cds	6724	8121	+	HPLHNM_00045		Serine/threonine protein phosphatase	EC:3.1.3.16, KEGG:K20074, SO:0001217, UniRef:UniRef50_A0A7W8YC73, UniRef:UniRef90_A0A0V8HRN4
contig_1	cds	8118	9515	+	HPLHNM_00050		Cell division protein	SO:0001217, UniRef:UniRef50_A0A1F1UAE3, UniRef:UniRef90_A0A0V8HSI8
contig_1	cds	9512	10972	+	HPLHNM_00055		Penicillin-binding protein 2	RefSeq:WP_131089671.1, SO:0001217, UniParc:UPI00103553C1, UniRef:UniRef100_A0A4Q8TL70, UniRef:UniRef50_A0A2A3Y3N7, UniRef:UniRef90_A0A4Q8TL70
contig_1	cds	10969	12777	+	HPLHNM_00060	pknB	Stk1 family PASTA domain-containing Ser/Thr kinase	SO:0001217, UniRef:UniRef50_A0A024H906, UniRef:UniRef90_A0A4Q8TL49
contig_1	cds	12774	14744	+	HPLHNM_00065	pknB	Stk1 family PASTA domain-containing Ser/Thr kinase	SO:0001217, UniRef:UniRef50_A0A5B7WP77, UniRef:UniRef90_A0A4Q8TL97
contig_1	cds	14748	15392	-	HPLHNM_00070	pabA	anthranilate synthase component II	COG:COG0512, COG:EH, SO:0001217, UniRef:UniRef50_A0A653MCN4, UniRef:UniRef90_A0A4Y8TV90
contig_1	cds	15389	15559	-	HPLHNM_00075		hypothetical protein	SO:0001217, UniRef:UniRef50_E1VRL5, UniRef:UniRef90_E1VRL5
contig_1	cds	15569	16384	-	HPLHNM_00080		Class E sortase	RefSeq:WP_131089667.1, SO:0001217, UniParc:UPI00103595DC, UniRef:UniRef100_A0A4Q8TL28, UniRef:UniRef50_A0A221PZE2, UniRef:UniRef90_A0A4Q8TL28
contig_1	cds	16605	16862	+	HPLHNM_00085		Cell division protein CrgA	RefSeq:WP_131089666.1, SO:0001217, UniParc:UPI001036B5E9, UniRef:UniRef100_A0A4Q8TL27, UniRef:UniRef50_E1VRL3, UniRef:UniRef90_A0A4Q8TL27
contig_1	cds	16917	17234	-	HPLHNM_00090		Multidrug efflux SMR transporter	RefSeq:WP_131089665.1, SO:0001217, UniParc:UPI001035D15A, UniRef:UniRef100_A0A4Q8TL31, UniRef:UniRef50_A0A143QKV8, UniRef:UniRef90_A0A4Q8TL31
contig_1	ncRNA-region	17248	17314	-			Guanidine-III riboswitch	RFAM:RF01763, SO:0000035
contig_1	cds	17319	18203	-	HPLHNM_00095		ArgP/LysG family DNA-binding transcriptional regulator	KEGG:K05596, SO:0001217, UniRef:UniRef50_A0A0V8HRH2, UniRef:UniRef90_A0A4Q8TL34
contig_1	cds	18223	18891	+	HPLHNM_00100		Amino acid transporter	KEGG:K06895, SO:0001217, UniRef:UniRef50_W2UET4, UniRef:UniRef90_A0A4Q8TL23
contig_1	cds	19384	20229	-	HPLHNM_00105		Rhomboid family intramembrane serine protease	SO:0001217, UniRef:UniRef50_A0A2A3Y587, UniRef:UniRef90_A0A4V2I3S0
contig_1	cds	20325	20870	-	HPLHNM_00110	ppiB	peptidylprolyl isomerase	COG:COG0652, COG:O, RefSeq:WP_131089661.1, SO:0001217, UniParc:UPI001036AAF2, UniRef:UniRef100_A0A4Q8TL62, UniRef:UniRef50_A0A168FKQ3, UniRef:UniRef90_A0A2N7S106
contig_1	cds	21042	21248	+	HPLHNM_00115		hypothetical protein	RefSeq:WP_131089660.1, SO:0001217, UniParc:UPI0010355AA5, UniRef:UniRef100_A0A4Q8TL41, UniRef:UniRef50_A0A5B8IRG1, UniRef:UniRef90_A0A4Q8TL41
contig_1	cds	21252	21761	-	HPLHNM_00120		hypothetical protein	
contig_2	cds	15	1862	+	HPLHNM_00125		Aminodeoxychorismate synthase component I	SO:0001217, UniRef:UniRef50_A0A2A3Y2U9, UniRef:UniRef90_A0A4Q8TJ99
contig_2	cds	1849	3345	-	HPLHNM_00130	cls	cardiolipin synthase	COG:COG1502, COG:I, SO:0001217, UniRef:UniRef50_F5XMG1, UniRef:UniRef90_A0A4Q8TLG4
contig_2	cds	3514	4389	+	HPLHNM_00135	ilvE	aminodeoxychorismate lyase	COG:COG0115, COG:EH, SO:0001217, UniRef:UniRef50_M7NAM3, UniRef:UniRef90_A0A2N7S1X9
contig_2	cds	4386	6713	-	HPLHNM_00140		ATP-binding cassette domain-containing protein	KEGG:K16785, SO:0001217, UniRef:UniRef50_A0A839FYF2, UniRef:UniRef90_A0A4V2I3H0
contig_2	cds	6710	7330	-	HPLHNM_00145		ABC-type cobalt transport system, permease component	KEGG:K16925, SO:0001217, UniRef:UniRef50_A0A078MPJ9, UniRef:UniRef90_A0A4Q8TJ92
contig_2	ncRNA-region	7396	7520	-			TPP riboswitch (THI element)	RFAM:RF00059, SO:0000035
contig_2	cds	7595	7846	+	HPLHNM_00150		DUF4235 domain-containing protein	SO:0001217, UniRef:UniRef50_A9WNV5, UniRef:UniRef90_A0A5B8IP24
contig_2	cds	7935	8336	-	HPLHNM_00155	mnhG	monovalent cation/H(+) antiporter subunit G	RefSeq:WP_131088949.1, SO:0001217, UniParc:UPI0010369EBB, UniRef:UniRef100_A0A4Q8TJ93, UniRef:UniRef50_A0A1I7MJI8, UniRef:UniRef90_A0A4Q8TJ93
contig_2	cds	8336	8602	-	HPLHNM_00160		Cation:proton antiporter	RefSeq:WP_131088950.1, SO:0001217, UniParc:UPI0010362005, UniRef:UniRef100_A0A4Q8TJC2, UniRef:UniRef50_A0A5B8IW06, UniRef:UniRef90_A0A5B8IW06
contig_2	cds	8599	9231	-	HPLHNM_00165		Na+/H+ antiporter subunit E	RefSeq:WP_131088951.1, SO:0001217, UniParc:UPI0010368301, UniRef:UniRef100_A0A4Q8TJB1, UniRef:UniRef50_A0A0V8HR01, UniRef:UniRef90_A0A4Q8TJB1
contig_2	cds	9244	10845	-	HPLHNM_00170	hyfB	Na+/H+ antiporter subunit D	COG:COG0651, COG:CP, RefSeq:WP_131088952.1, SO:0001217, UniParc:UPI0010358266, UniRef:UniRef100_A0A4Q8TJB3, UniRef:UniRef50_A0A328L4K1, UniRef:UniRef90_E1VYR2
contig_2	cds	10842	11291	-	HPLHNM_00175		Na(+)/H(+) antiporter subunit C	RefSeq:WP_131088953.1, SO:0001217, UniParc:UPI0010364162, UniRef:UniRef100_A0A4Q8TJG8, UniRef:UniRef50_A0A1B1ND79, UniRef:UniRef90_A0A0V8HR40
contig_2	cds	11288	14257	-	HPLHNM_00180		Na+/H+ antiporter subunit A	SO:0001217, UniRef:UniRef50_B2GGA5, UniRef:UniRef90_A0A0V8HQS9
contig_2	cds	14483	15805	+	HPLHNM_00185		MFS transporter	KEGG:K06902, SO:0001217, UniRef:UniRef50_A0A0U3RPC9, UniRef:UniRef90_A0A4Q8TJD4
contig_2	cds	15868	16617	-	HPLHNM_00190		dCTP deaminase, dUMP-forming	SO:0001217, UniRef:UniRef50_A0LWS4
contig_2	cds	16645	17514	+	HPLHNM_00195		D-alanyl-D-alanine carboxypeptidase family protein	EC:3.4.17.14, KEGG:K07260, SO:0001217, UniRef:UniRef50_A0A0V8HQP6, UniRef:UniRef90_A0A4Q8TJA1
contig_2	cds	17538	17894	-	HPLHNM_00200		hypothetical protein	SO:0001217, UniRef:UniRef50_E1VYR8, UniRef:UniRef90_A0A4Q8TJB0
contig_2	cds	18063	19769	-	HPLHNM_00205	ttdA	fumarate hydratase	COG:C, COG:COG1951, RefSeq:WP_131088959.1, SO:0001217, UniParc:UPI001035AFD3, UniRef:UniRef100_A0A4Q8TJA0, UniRef:UniRef50_E9AE57, UniRef:UniRef90_A0A5B7WXD5
contig_2	cds	19881	20372	+	HPLHNM_00210		SseB domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2A3Y2A2, UniRef:UniRef90_A0A0V8HQR3
contig_2	tRNA	20469	20542	+	HPLHNM_00215	Gly_trna	tRNA-Gly	SO:0000260
contig_3	cds	154	927	+	HPLHNM_00220		uracil-DNA glycosylase	EC:3.2.2.27, KEGG:K03648, SO:0001217, UniRef:UniRef50_E1VT24, UniRef:UniRef90_A0A4Q8TE67
contig_3	cds	924	2594	-	HPLHNM_00225		Putative threonine/serine exporter	SO:0001217, UniRef:UniRef50_M7MN74, UniRef:UniRef90_A0A0V8HWG3
contig_3	cds	2796	3842	+	HPLHNM_00230		LLM class flavin-dependent oxidoreductase	SO:0001217, UniRef:UniRef50_A0A3P5WQV2, UniRef:UniRef90_A0A4Q8TE46
contig_3	tRNA	3907	3980	-	HPLHNM_00235	Val_trna	tRNA-Val	SO:0000273
contig_3	cds	4335	4961	+	HPLHNM_00240		GNAT family N-acetyltransferase	SO:0001217, UniRef:UniRef50_A0A6H0SIV3, UniRef:UniRef90_A0A4Q8TE21
contig_3	cds	4855	5781	-	HPLHNM_00245		hypothetical protein	RefSeq:WP_242632592.1, SO:0001217, UniParc:UPI001F5FD7AC, UniRef:UniRef100_UPI001F5FD7AC, UniRef:UniRef50_A0A5C2FP92, UniRef:UniRef90_A0A5C2FP92
contig_3	cds	5784	7433	-	HPLHNM_00250		SAM-dependent methyltransferase	SO:0001217, UniRef:UniRef50_A0A5B7WSL4, UniRef:UniRef90_A0A4V2I2Z5
contig_3	cds	7497	8447	-	HPLHNM_00255		DUF808 domain-containing protein	KEGG:K09781, SO:0001217, UniRef:UniRef50_A0A1X6ZCJ9, UniRef:UniRef90_A0A4Q8TE12
contig_3	tRNA	8631	8716	-	HPLHNM_00260		(pseudo) (pseudo) tRNA-Xxx	
contig_3	cds	8847	9410	-	HPLHNM_00265		helicase associated domain-containing protein	SO:0001217, UniRef:UniRef50_UPI0013EF6206, UniRef:UniRef90_UPI0013EF6206
contig_3	cds	9489	9890	+	HPLHNM_00270		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0013EFBFD1, UniRef:UniRef90_UPI0013EFBFD1
contig_3	cds	10104	11006	+	HPLHNM_00275		hypothetical protein	RefSeq:WP_131090345.1, SO:0001217, UniParc:UPI0010360A2E, UniRef:UniRef100_A0A4Q8TE52, UniRef:UniRef50_A0A4Q8TE52, UniRef:UniRef90_A0A4Q8TE52
contig_3	cds	11080	11637	+	HPLHNM_00280		hypothetical protein	RefSeq:WP_131090346.1, SO:0001217, UniParc:UPI00103684AE, UniRef:UniRef100_A0A4Q8TE32, UniRef:UniRef50_E1VUE8, UniRef:UniRef90_E1VUE8
contig_3	cds	11634	12242	+	HPLHNM_00285		hypothetical protein	RefSeq:WP_131090347.1, SO:0001217, UniParc:UPI001035B0DF, UniRef:UniRef100_A0A4Q8TE25, UniRef:UniRef50_A0A2N7S5X5, UniRef:UniRef90_A0A4Q8TE25
contig_3	cds	12264	12983	-	HPLHNM_00290		Peptidase-S8 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A4Q8TE34, UniRef:UniRef90_A0A4Q8TE34
contig_3	cds	13112	13363	+	HPLHNM_00295		hypothetical protein	
contig_3	cds	13379	13630	-	HPLHNM_00300		hypothetical protein	
contig_3	cds	13831	15069	-	HPLHNM_00305		Tyr recombinase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A4Q8TE31, UniRef:UniRef90_A0A4Q8TE31
contig_3	cds	15069	15287	-	HPLHNM_00310		DNA-binding protein	RefSeq:WP_131090351.1, SO:0001217, UniParc:UPI001035987B, UniRef:UniRef100_A0A4Q8TE58, UniRef:UniRef50_A0A4Q8TE58, UniRef:UniRef90_A0A4Q8TE58
contig_3	tRNA	15589	15662	-	HPLHNM_00315	Thr_trna	tRNA-Thr	SO:0000270
contig_3	cds	15831	16697	-	HPLHNM_00320		Thioredoxin	SO:0001217, UniRef:UniRef50_A0A7W8TT01, UniRef:UniRef90_A0A4V2I2Z1
contig_3	cds	17096	18559	+	HPLHNM_00325		Trehalose-phosphate synthase	RefSeq:WP_131090353.1, SO:0001217, UniParc:UPI0010361442, UniRef:UniRef100_A0A4Q8TE20, UniRef:UniRef50_A0A3N2JZF2, UniRef:UniRef90_A0A0V8HW35
contig_3	cds	18576	19379	+	HPLHNM_00330	otsB	trehalose-phosphatase	SO:0001217, UniRef:UniRef50_A0A2S9DW38, UniRef:UniRef90_A0A4Q8TE62
contig_3	ncRNA-region	19386	19442	+			msiK RNA	RFAM:RF01747, SO:0005836
contig_4	cds	18	1454	+	HPLHNM_00335	mptB	polyprenol phosphomannose-dependent alpha 1,6 mannosyltransferase MptB	SO:0001217, UniRef:UniRef50_A0A2N7S4I8, UniRef:UniRef90_A0A4Q8TH49
contig_4	cds	1549	2634	+	HPLHNM_00340		VanZ family protein	SO:0001217, UniRef:UniRef50_A0A4Y4DMD3, UniRef:UniRef90_A0A4Q8TH44
contig_4	cds	2752	3540	+	HPLHNM_00345		DUF2637 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2S8WH33, UniRef:UniRef90_A0A4Q8TH64
contig_4	cds	3620	4717	+	HPLHNM_00350	yjbM	ppGpp synthetase catalytic domain (RelA/SpoT-type nucleotidyltranferase)	COG:COG2357, COG:FT, SO:0001217, UniRef:UniRef50_M7MTZ6, UniRef:UniRef90_A0A6H0SM29
contig_4	cds	4850	6451	+	HPLHNM_00355	ccmA	heme ABC exporter ATP-binding protein CcmA	COG:COG0488, COG:R, RefSeq:WP_131088136.1, SO:0001217, UniParc:UPI001035B64F, UniRef:UniRef100_A0A4Q8THA0, UniRef:UniRef50_G8SCY4, UniRef:UniRef90_A0A2M9ADM0
contig_4	cds	6731	6955	+	HPLHNM_00360		hypothetical protein	
contig_4	cds	6977	7882	-	HPLHNM_00365		SURF1-like protein	KEGG:K14998, SO:0001217, UniRef:UniRef50_A0A4R5U333, UniRef:UniRef90_A0A4V2I3A1
contig_4	cds	7883	8128	-	HPLHNM_00370		Acetone carboxylase	RefSeq:WP_131088138.1, SO:0001217, UniParc:UPI001035A6F2, UniRef:UniRef100_A0A4Q8TH57, UniRef:UniRef50_A0A1R1LFU9, UniRef:UniRef90_A0A4Q8TH57
contig_4	cds	8128	8565	-	HPLHNM_00375		DUF3099 domain-containing protein	SO:0001217, UniParc:UPI0010366653, UniRef:UniRef100_A0A4Q8TH59, UniRef:UniRef50_A0A365YM01, UniRef:UniRef90_A0A4Q8TH59
contig_4	cds	8778	9464	+	HPLHNM_00380	fabG	beta-ketoacyl-ACP reductase	COG:COG1028, COG:I, SO:0001217, UniRef:UniRef50_A0A7Z0IM36, UniRef:UniRef90_A0A2M9ADU1
contig_4	cds	9530	10279	+	HPLHNM_00385	fabG	short chain dehydrogenase	COG:COG1028, COG:I, RefSeq:WP_131088141.1, SO:0001217, UniParc:UPI0010360354, UniRef:UniRef100_A0A4Q8TH82, UniRef:UniRef50_A0A1P8NDI2, UniRef:UniRef90_A0A0V8HZE2
contig_4	cds	10441	12171	-	HPLHNM_00390		PG-binding-4 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2A3Y0N0, UniRef:UniRef90_A0A4Q8TH58
contig_4	cds	12334	13254	-	HPLHNM_00395	serB	phosphoserine phosphatase SerB	EC:3.1.3.3, KEGG:K01079, SO:0001217, UniRef:UniRef50_E1VW13, UniRef:UniRef90_A0A4Q8TH52
contig_4	cds	13378	14163	+	HPLHNM_00400	modF	ABC-type molybdenum transport system, ATPase component ModF/photorepair protein PhrA	COG:COG1119, COG:P, RefSeq:WP_131088144.1, SO:0001217, UniParc:UPI0010364362, UniRef:UniRef100_A0A4Q8TH72, UniRef:UniRef50_N0DZ94, UniRef:UniRef90_A0A4Q8TH72
contig_4	cds	14192	14989	+	HPLHNM_00405		putative membrane transporter protein	SO:0001217, UniRef:UniRef50_A0A2H1HHU0, UniRef:UniRef90_A0A0V8HZ88
contig_4	cds	14994	15827	+	HPLHNM_00410		RNA methyltransferase	RefSeq:WP_131088146.1, SO:0001217, UniParc:UPI001036BFB7, UniRef:UniRef100_A0A4Q8THB3, UniRef:UniRef50_E1VW16, UniRef:UniRef90_A0A4Q8THB3
contig_4	cds	15976	16233	+	HPLHNM_00415	rpmE	type B 50S ribosomal protein L31	RefSeq:WP_131088147.1, SO:0001217, UniParc:UPI00103591EC, UniRef:UniRef100_A0A4V2I398, UniRef:UniRef50_Q6NIC5, UniRef:UniRef90_A0A0V8I046
contig_4	cds	16396	17451	+	HPLHNM_00420		Lipoate--protein ligase family protein	EC:6.3.1.20, KEGG:K03800, SO:0001217, UniRef:UniRef50_E1VW18, UniRef:UniRef90_A0A4Q8TH66
contig_4	cds	17533	18819	-	HPLHNM_00425		hypothetical protein	PFAM:PF11838.11
contig_5	cds	6	1400	+	HPLHNM_00430	hisJ	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	COG:COG0834, COG:ET, SO:0001217, UniRef:UniRef50_K4IKX2, UniRef:UniRef90_E1VYF4
contig_5	cds	1397	2152	+	HPLHNM_00435	glnQ	ABC-type polar amino acid transport system, ATPase component	COG:COG1126, COG:E, SO:0001217, UniRef:UniRef50_P54537, UniRef:UniRef90_A0A0V8HYK9
contig_5	cds	2356	2805	+	HPLHNM_00440		DoxX family protein	SO:0001217, UniRef:UniRef50_A0A653LMX6, UniRef:UniRef90_A0A4Q8TJ13
contig_5	cds	2947	3933	+	HPLHNM_00445	paaA	1,2-phenylacetyl-CoA epoxidase subunit A	COG:COG3396, COG:Q, SO:0001217, UniRef:UniRef50_A0A365YDD1, UniRef:UniRef90_A0A365YDD1
contig_5	cds	3935	4225	+	HPLHNM_00450	paaB	1,2-phenylacetyl-CoA epoxidase subunit B	COG:COG3460, COG:Q, RefSeq:WP_131088861.1, SO:0001217, UniParc:UPI00103561A2, UniRef:UniRef100_A0A4Q8TJ18, UniRef:UniRef50_A0A2N6PGQ1, UniRef:UniRef90_A0A5B8IVP5
contig_5	cds	4222	5082	+	HPLHNM_00455	paaC	phenylacetate-CoA oxygenase subunit PaaC	EC:1.14.13.149, KEGG:K02611, SO:0001217, UniRef:UniRef50_A0A0G3H998, UniRef:UniRef90_A0A5B8I0K4
contig_5	cds	5114	5611	+	HPLHNM_00460	paaJ	phenylacetate-CoA oxygenase subunit PaaJ	KEGG:K02612, SO:0001217, UniRef:UniRef50_A0A132N4W6, UniRef:UniRef90_A0A4Q8TJ50
contig_5	cds	5608	6768	+	HPLHNM_00465	fpr	Flavodoxin/ferredoxin--NADP reductase	COG:C, COG:COG1018, RefSeq:WP_131088858.1, SO:0001217, UniParc:UPI001036B8E3, UniRef:UniRef100_A0A4Q8TIZ6, UniRef:UniRef50_A0A5S4V4L0, UniRef:UniRef90_A0A6H0SJV4
contig_5	cds	6787	7572	+	HPLHNM_00470		Enoyl-CoA hydratase/isomerase family protein	RefSeq:WP_131088857.1, SO:0001217, UniParc:UPI001035D5B1, UniRef:UniRef100_A0A4Q8TJ81, UniRef:UniRef50_A0A2X4RGP9, UniRef:UniRef90_A0A4Q8TJ81
contig_5	cds	7670	8122	-	HPLHNM_00475	lrp	DNA-binding transcriptional regulator, Lrp family	COG:COG1522, COG:K, RefSeq:WP_131088856.1, SO:0001217, UniParc:UPI001036F2E2, UniRef:UniRef100_A0A4Q8TJ29, UniRef:UniRef50_A0A7W5TQH5, UniRef:UniRef90_A0A0V8HXL9
contig_5	cds	8348	9511	+	HPLHNM_00480	pdhA	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	COG:C, COG:COG1071, SO:0001217, UniRef:UniRef50_A0A328LDI1, UniRef:UniRef90_A0A2N7S2F1
contig_5	cds	9513	10595	+	HPLHNM_00485	acoB	alpha-ketoacid dehydrogenase subunit beta	COG:C, COG:COG0022, SO:0001217, UniRef:UniRef50_P9WIS0, UniRef:UniRef90_A0A0V8HXP3
contig_5	cds	10596	12035	+	HPLHNM_00490		Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex	SO:0001217, UniRef:UniRef50_H0QNE4, UniRef:UniRef90_A0A4Q8TJ05
contig_5	cds	12224	13303	+	HPLHNM_00495		DUF3093 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A5B8IMG4, UniRef:UniRef90_A0A4Q8TIZ1
contig_5	cds	13336	14199	-	HPLHNM_00500		Phosphatase PAP2 family protein	RefSeq:WP_131088851.1, SO:0001217, UniParc:UPI0010358726, UniRef:UniRef100_A0A4Q8TJ08, UniRef:UniRef50_A0A0V8HXQ3, UniRef:UniRef90_A0A4Q8TJ08
contig_5	cds	14280	15275	+	HPLHNM_00505		o-succinylbenzoate synthase	SO:0001217, UniRef:UniRef50_A0A1I7MDP4, UniRef:UniRef90_A0A4V2I3G7
contig_5	cds	15399	17510	+	HPLHNM_00510		Phosphatase	SO:0001217, UniRef:UniRef50_A0A4R6R279, UniRef:UniRef90_A0A0V8HXW8
contig_5	cds	17754	18230	-	HPLHNM_00515		hypothetical protein	
contig_6	cds	158	340	-	HPLHNM_00520		ATP-dependent helicase hrpA	SO:0001217, UniRef:UniRef50_A0A377ZVU5
contig_6	cds	670	2040	-	HPLHNM_00525		FAD-dependent oxidoreductase	SO:0001217, UniRef:UniRef50_A0A1B9EVB0, UniRef:UniRef90_A0A4Q8TDM8
contig_6	cds	2190	3122	-	HPLHNM_00530		4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	EC:2.7.1.148, KEGG:K00919, SO:0001217, UniRef:UniRef50_B8HF09, UniRef:UniRef90_UPI00135C634D
contig_6	cds	3125	4009	-	HPLHNM_00535	rsmA	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	COG:COG0030, COG:J, EC:2.1.1.182, KEGG:K02528, RefSeq:WP_131090153.1, SO:0001217, UniParc:UPI0010368BB4, UniRef:UniRef100_A0A4Q8TDN0, UniRef:UniRef50_Q8NRY1, UniRef:UniRef90_E1VTQ7
contig_6	cds	4109	5398	-	HPLHNM_00540		Resuscitation-promoting factor	SO:0001217, UniRef:UniRef50_A0A2A3XWL8, UniRef:UniRef90_A0A4V2I2X1
contig_6	cds	5657	6613	-	HPLHNM_00545		TatD family deoxyribonuclease	EC:3.1.21.-, KEGG:K03424, SO:0001217, UniRef:UniRef50_E1VTQ5, UniRef:UniRef90_A0A4Q8TDJ7
contig_6	cds	6822	7784	+	HPLHNM_00550		MoxR family ATPase	SO:0001217, UniRef:UniRef50_A0A2H5Y879, UniRef:UniRef90_A0A4Q8TDL7
contig_6	cds	7936	9117	+	HPLHNM_00555		DUF58 domain-containing protein	RefSeq:WP_165477362.1, SO:0001217, UniParc:UPI0013EF7C1B, UniRef:UniRef100_A0A4Q8TDN8, UniRef:UniRef50_E1VTQ3, UniRef:UniRef90_A0A4Q8TDN8
contig_6	cds	9117	11531	+	HPLHNM_00560		TGc domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0V8HVM9, UniRef:UniRef90_A0A4Q8TDL2
contig_6	cds	11618	13105	-	HPLHNM_00565	adhE	NAD-dependent succinate-semialdehyde dehydrogenase	COG:COG1012, COG:I, SO:0001217, UniRef:UniRef50_A0A4Y8ZM15, UniRef:UniRef90_E1VTQ1
contig_6	cds	13242	14102	-	HPLHNM_00570	rsmI	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	EC:2.1.1.198, KEGG:K07056, SO:0001217, UniRef:UniRef50_A0A0Q7K5S9, UniRef:UniRef90_A0A0V8HVP2
contig_6	cds	14171	15781	+	HPLHNM_00575		Dolichyl-phosphate-mannose--protein mannosyltransferase	EC:2.4.1.109, KEGG:K00728, SO:0001217, UniRef:UniRef50_E1VTP9, UniRef:UniRef90_A0A4Q8TDN5
contig_6	cds	16862	17179	-	HPLHNM_00580		hypothetical protein	
contig_7	cds	187	663	+	HPLHNM_00585		hypothetical protein	
contig_7	cds	1233	1730	-	HPLHNM_00590		bPH-2 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0V8HRJ6, UniRef:UniRef90_A0A4Q8TL84
