#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	15389	15559	-	HPLHNM_00075	6.5	5.8		SO:0001217, UniRef:UniRef50_E1VRL5, UniRef:UniRef90_E1VRL5
contig_1	21042	21248	+	HPLHNM_00115	7.4	4.8		RefSeq:WP_131089660.1, SO:0001217, UniParc:UPI0010355AA5, UniRef:UniRef100_A0A4Q8TL41, UniRef:UniRef50_A0A5B8IRG1, UniRef:UniRef90_A0A4Q8TL41
contig_1	21252	21761	-	HPLHNM_00120	17.3	7.8		
contig_2	17538	17894	-	HPLHNM_00200	13.0	11.0		SO:0001217, UniRef:UniRef50_E1VYR8, UniRef:UniRef90_A0A4Q8TJB0
contig_3	4855	5781	-	HPLHNM_00245	34.1	5.2		RefSeq:WP_242632592.1, SO:0001217, UniParc:UPI001F5FD7AC, UniRef:UniRef100_UPI001F5FD7AC, UniRef:UniRef50_A0A5C2FP92, UniRef:UniRef90_A0A5C2FP92
contig_3	9489	9890	+	HPLHNM_00270	14.9	10.0		SO:0001217, UniRef:UniRef50_UPI0013EFBFD1, UniRef:UniRef90_UPI0013EFBFD1
contig_3	10104	11006	+	HPLHNM_00275	31.6	5.3		RefSeq:WP_131090345.1, SO:0001217, UniParc:UPI0010360A2E, UniRef:UniRef100_A0A4Q8TE52, UniRef:UniRef50_A0A4Q8TE52, UniRef:UniRef90_A0A4Q8TE52
contig_3	11080	11637	+	HPLHNM_00280	20.4	4.3		RefSeq:WP_131090346.1, SO:0001217, UniParc:UPI00103684AE, UniRef:UniRef100_A0A4Q8TE32, UniRef:UniRef50_E1VUE8, UniRef:UniRef90_E1VUE8
contig_3	11634	12242	+	HPLHNM_00285	21.2	10.3		RefSeq:WP_131090347.1, SO:0001217, UniParc:UPI001035B0DF, UniRef:UniRef100_A0A4Q8TE25, UniRef:UniRef50_A0A2N7S5X5, UniRef:UniRef90_A0A4Q8TE25
contig_3	13112	13363	+	HPLHNM_00295	9.4	6.0		
contig_3	13379	13630	-	HPLHNM_00300	9.2	10.0		
contig_4	6731	6955	+	HPLHNM_00360	8.0	4.1		
contig_4	17533	18819	-	HPLHNM_00425	46.5	4.9	PF11838.11|ERAP1_C	PFAM:PF11838.11
contig_5	17754	18230	-	HPLHNM_00515	17.5	11.1		
contig_6	16862	17179	-	HPLHNM_00580	11.4	7.0		
contig_7	187	663	+	HPLHNM_00585	16.5	5.0		
contig_7	13322	13531	+	HPLHNM_00660	7.7	9.2		RefSeq:WP_131089720.1, SO:0001217, UniParc:UPI0010367C67, UniRef:UniRef100_A0A4Q8TL98, UniRef:UniRef50_A0A0V8HRI9, UniRef:UniRef90_A0A4Q8TL98
contig_7	15072	15707	+	HPLHNM_00670	22.6	11.1		KEGG:K07149, RefSeq:WP_131089718.1, SO:0001217, UniParc:UPI001036DA97, UniRef:UniRef100_A0A4Q8TLA2, UniRef:UniRef50_E2SD10, UniRef:UniRef90_A0A0V8HRR7
contig_7	15766	16368	+	HPLHNM_00675	21.5	5.0		RefSeq:WP_131089717.1, SO:0001217, UniParc:UPI0010368BE6, UniRef:UniRef100_A0A4Q8TL72, UniRef:UniRef50_A0A0V8HRG9, UniRef:UniRef90_A0A0V8HRG9
contig_7	16352	16852	-	HPLHNM_00680	18.6	7.0		
contig_7	16861	17142	-	HPLHNM_00685	9.9	4.2	PF08282.15|Hydrolase_3	PFAM:PF08282.15
contig_8	9266	9814	+	HPLHNM_00730	20.6	10.1		SO:0001217, UniRef:UniRef50_E1VTY0, UniRef:UniRef90_A0A4Q8TDH9
contig_8	15092	15700	-	HPLHNM_00755	22.2	10.5		SO:0001217, UniRef:UniRef50_A0A0V8HVJ8, UniRef:UniRef90_A0A4Q8TDJ5
contig_9	13674	14087	-	HPLHNM_00840	14.4	7.9		
contig_9	14154	14459	-	HPLHNM_00845	11.0	9.1		
contig_10	7398	7805	-	HPLHNM_00880	15.4	11.5		
contig_10	9668	9946	+	HPLHNM_00890	10.3	4.2		
contig_10	10103	10579	+	HPLHNM_00895	16.4	4.5		SO:0001217, UniRef:UniRef50_A0A4Q0AT22, UniRef:UniRef90_A0A4Q8TKH6
contig_10	12919	13029	+	HPLHNM_00905	4.1	4.1		
contig_10	13792	14100	-	HPLHNM_00915	11.6	6.7		SO:0001217, UniRef:UniRef50_A0A285HSY3, UniRef:UniRef90_UPI001A93A8E9
contig_10	16098	16451	-	HPLHNM_00925	12.3	6.6		
contig_11	874	2220	+	HPLHNM_00935	47.9	8.4		SO:0001217, UniRef:UniRef50_A0A4Q8TKM0, UniRef:UniRef90_A0A4Q8TKM0
contig_11	2181	2834	+	HPLHNM_00940	23.0	10.5		SO:0001217, UniRef:UniRef50_A0A4Q8TKS2, UniRef:UniRef90_A0A4Q8TKS2
contig_11	12794	13369	-	HPLHNM_00990	21.3	5.1		SO:0001217, UniRef:UniRef50_A0A4Q8TKN5, UniRef:UniRef90_A0A4Q8TKN5
contig_11	15666	16250	+	HPLHNM_01020	20.8	6.4		SO:0001217, UniRef:UniRef50_A0A4Q8TKK9, UniRef:UniRef90_A0A4Q8TKK9
contig_12	10726	10851	+	HPLHNM_01080	4.5	11.4		
contig_13	5180	8938	+	HPLHNM_01120	135.9	9.8		SO:0001217, UniRef:UniRef50_A0A4Q8TJ23, UniRef:UniRef90_A0A4Q8TJ23
contig_14	1255	2412	+	HPLHNM_01190	42.4	10.0		SO:0001217, UniRef:UniRef50_A0A5B7WWH2, UniRef:UniRef90_A0A4Q8TK94
contig_14	3485	4081	+	HPLHNM_01200	20.9	4.5		SO:0001217, UniRef:UniRef50_A0A5C2FW45, UniRef:UniRef90_A0A4Q8TKC3
contig_14	5557	5814	-	HPLHNM_01210	9.7	9.4		RefSeq:WP_131089298.1, SO:0001217, UniParc:UPI00103560A2, UniRef:UniRef100_A0A4Q8TK92, UniRef:UniRef50_A0A4Y8TV57, UniRef:UniRef90_A0A4Q8TK92
