#Annotated with Bakta (v1.5.0): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	200	895	+	LKABPG_00005		hypothetical protein	
contig_1	cds	912	1235	+	LKABPG_00010		GBBH-like-N domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2E9ERY2
contig_1	cds	1418	1684	+	LKABPG_00015		30S ribosomal protein S15	SO:0001217, UniRef:UniRef50_B1ZGS8
contig_1	cds	1937	4327	+	LKABPG_00020		Polyribonucleotide nucleotidyltransferase	SO:0001217, UniRef:UniRef50_B1ZS98
contig_1	cds	4331	5116	+	LKABPG_00025		hypothetical protein	
contig_1	cds	5129	5665	+	LKABPG_00030		hypothetical protein	
contig_1	cds	5673	7187	-	LKABPG_00035		hypothetical protein	PFAM:PF00013.32, PFAM:PF08668.15
contig_1	cds	7324	8622	+	LKABPG_00040		Rod shape-determining protein RodA	SO:0001217, UniRef:UniRef50_A0A1D8AUM6
contig_1	cds	8689	10440	+	LKABPG_00045		Ribonuclease G	SO:0001217, UniRef:UniRef50_A0A2Z4AHV3
contig_1	cds	10460	11524	-	LKABPG_00050		Dihydroorotate dehydrogenase (quinone)	SO:0001217, UniRef:UniRef50_A0A1J4XLZ1
contig_1	cds	11693	12595	+	LKABPG_00055		hypothetical protein	
contig_1	cds	12702	13145	+	LKABPG_00060		BFN domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2V6ME38
contig_1	cds	13167	14198	+	LKABPG_00065		tRNA-dihydrouridine synthase	SO:0001217, UniRef:UniRef50_A0A2A5W0A6
contig_1	cds	14223	15818	-	LKABPG_00070		Peptide chain release factor 3	SO:0001217, UniRef:UniRef50_A0A849UM51
contig_1	cds	15818	17179	-	LKABPG_00075		Threonine synthase	SO:0001217, UniRef:UniRef50_A0A2D6UH04
contig_1	cds	17205	18494	-	LKABPG_00080		Aspartokinase	SO:0001217, UniRef:UniRef50_A0A143XB61
contig_1	cds	18497	19831	-	LKABPG_00085		Homoserine dehydrogenase	SO:0001217, UniRef:UniRef50_R7LBJ9
contig_1	cds	19903	20523	-	LKABPG_00090		Glycerol-3-phosphate acyltransferase	SO:0001217, UniRef:UniRef50_A0A2V2D255
contig_1	cds	20530	22131	-	LKABPG_00095		D-3-phosphoglycerate dehydrogenase	SO:0001217, UniRef:UniRef50_A0A2E4AYV5
contig_1	cds	22215	24020	-	LKABPG_00100		hypothetical protein	
contig_1	cds	24035	24310	+	LKABPG_00105		hypothetical protein	
contig_1	cds	24485	26104	+	LKABPG_00110		CTP synthase	SO:0001217, UniRef:UniRef50_Q4UTN9
contig_1	cds	26101	26901	+	LKABPG_00115		2-dehydro-3-deoxyphosphooctonate aldolase	SO:0001217, UniRef:UniRef50_I6AVE0
contig_1	cds	26911	28449	-	LKABPG_00120		Protease Do	SO:0001217, UniRef:UniRef50_A0A2E5K2M0
contig_1	cds	28502	29098	-	LKABPG_00125		Bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	SO:0001217, UniRef:UniRef50_A0A6B3L9Z6
contig_1	cds	29179	30858	+	LKABPG_00130		2-isopropylmalate synthase	SO:0001217, UniRef:UniRef50_A0A349IKP0
contig_1	cds	30917	32401	+	LKABPG_00135		Glycine--tRNA ligase	SO:0001217, UniRef:UniRef50_A0A2X3KJH3
contig_1	cds	32408	34978	+	LKABPG_00140		hypothetical protein	PFAM:PF00072.27, PFAM:PF00072.27, PFAM:PF00512.28, PFAM:PF02518.29, PFAM:PF13589.9, PFAM:PF17201.7, PFAM:PF17202.7, PFAM:PF17203.7
contig_1	cds	35024	37489	-	LKABPG_00145		hypothetical protein	
contig_1	cds	37505	38485	-	LKABPG_00150		Glycosyltransferase, group 2 family protein	SO:0001217, UniRef:UniRef50_N1VXK9
contig_1	cds	38478	39386	-	LKABPG_00155		Transketolase	SO:0001217, UniRef:UniRef50_A0A3E1ETS3
contig_1	cds	39383	40198	-	LKABPG_00160		Transketolase subunit A	SO:0001217, UniRef:UniRef50_A4A6H1
contig_1	cds	40210	41127	-	LKABPG_00165		hypothetical protein	PFAM:PF16363.8
