#Annotated with Bakta (v1.5.0): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	77	598	-	JBNEKJ_00005		Isoprenylcysteine carboxyl methyltransferase (ICMT) family	KEGG:K16168, SO:0001217, UniRef:UniRef50_C0ZFT4, UniRef:UniRef90_UPI000CCC7C4E
contig_1	cds	608	1678	-	JBNEKJ_00010		Chalcone synthase	SO:0001217, UniRef:UniRef50_A0A5Q2N7C3, UniRef:UniRef90_A0A0K9YVE5
contig_1	cds	1809	3074	-	JBNEKJ_00015		MFS transporter	SO:0001217, UniRef:UniRef50_V6M7F8, UniRef:UniRef90_UPI000CCC39C4
contig_1	cds	3343	4008	+	JBNEKJ_00020		GGDEF domain-containing protein	SO:0001217, UniRef:UniRef50_C0ZFT2, UniRef:UniRef90_UPI001B16FC47
contig_1	cds	4211	4828	+	JBNEKJ_00025	ykaA	DUF47 domain-containing protein	COG:COG1392, COG:P, KEGG:K07220, RefSeq:WP_103105870.1, SO:0001217, UniParc:UPI000CCC8ED0, UniRef:UniRef100_UPI000CCC8ED0, UniRef:UniRef50_A0A2S5HLA1, UniRef:UniRef90_V6MBB7
contig_1	cds	4821	5840	+	JBNEKJ_00030		anion permease	RefSeq:WP_103105871.1, SO:0001217, UniParc:UPI000CCC75EE, UniRef:UniRef100_UPI000CCC75EE, UniRef:UniRef50_W8U5Y5, UniRef:UniRef90_A0A0Q3SSU1
contig_1	cds	5936	6175	-	JBNEKJ_00035		hypothetical protein	SO:0001217, UniRef:UniRef50_C0ZFS9, UniRef:UniRef90_UPI001AFD408B
contig_1	cds	6303	7100	-	JBNEKJ_00040	lgt	prolipoprotein diacylglyceryl transferase	COG:COG0682, COG:M, EC:2.5.1.145, KEGG:K13292, SO:0001217, UniRef:UniRef50_Q8Y4G2, UniRef:UniRef90_A0A1Y4X1M4
contig_1	cds	7175	8077	-	JBNEKJ_00045		non-homologous end-joining DNA ligase	EC:6.5.1.1, KEGG:K01971, SO:0001217, UniRef:UniRef50_A0A075R759, UniRef:UniRef90_UPI000CCC023F
contig_1	cds	8213	9817	+	JBNEKJ_00050		Membrane protein	SO:0001217, UniRef:UniRef50_A0A511V557, UniRef:UniRef90_A0A0K9YVH7
contig_1	cds	9817	10971	+	JBNEKJ_00055		Ger(x)C family spore germination protein	SO:0001217, UniRef:UniRef50_A0A0K9YVD8, UniRef:UniRef90_UPI001BB3B9CE
contig_1	cds	10968	11201	+	JBNEKJ_00060		hypothetical protein	RefSeq:WP_103105877.1, SO:0001217, UniParc:UPI000CCC812E, UniRef:UniRef100_UPI000CCC812E, UniRef:UniRef50_A0A0K9YVB4, UniRef:UniRef90_UPI000CCC812E
contig_1	cds	11215	12573	+	JBNEKJ_00065		endospore germination permease	KEGG:K06296, SO:0001217, UniRef:UniRef50_C0ZFS4, UniRef:UniRef90_UPI000CCC8D13
contig_1	cds	12591	12863	-	JBNEKJ_00070		hypothetical protein	RefSeq:WP_103105879.1, SO:0001217, UniParc:UPI000CCC017C, UniRef:UniRef100_UPI000CCC017C, UniRef:UniRef50_C0Z8C6, UniRef:UniRef90_UPI000CCC017C
contig_1	cds	12893	13180	-	JBNEKJ_00075		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0013DFD0FD, UniRef:UniRef90_UPI0013DFD0FD
