Genus,Species,Synonyms,ncbi_taxid,taxid_matching_level,type_strain,medium_name,medium_link,strain_history,gram,length,width,motility,oxygen_tolerance,spore,aggregation_score,GC_content,antibiotic_resistance_chebi,antibiotic_resistance_metabolite
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priestia,Priestia megaterium,Bacillus megaterium,1404,species,no,TRYPTICASE SOY YEAST EXTRACT MEDIUM (DSMZ Medium 92),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priestia,Priestia megaterium,Bacillus megaterium,1404,species,no,CASO AGAR (MERCK 105458) (DSMZ Medium 220),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priestia,Priestia megaterium,Bacillus megaterium,1404,species,no,CASO AGAR (MERCK 105458) (DSMZ Medium 220),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,MEDIUM 72- for trypto casein soja agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,MEDIUM 72- for trypto casein soja agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,MEDIUM 29- Brain heart agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,MEDIUM 29- Brain heart agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,aerobe,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,aerobe,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,Nutrient Agar (NA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus,Bacillus megaterium,Bacillus megaterium,NA,NA,no,Nutrient Agar (NA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priestia,Priestia megaterium,Bacillus megaterium,1404,species,no,CASO AGAR (MERCK 105458) (DSMZ Medium 220),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priestia,Priestia megaterium,Bacillus megaterium,1404,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priestia,Priestia megaterium,Bacillus megaterium,1404,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priestia,Priestia megaterium,Bacillus megaterium,1404,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priestia,Priestia megaterium,Bacillus megaterium,1404,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacillus,Brevibacillus reuszeri,Bacillus reuszeri,54915,species,yes,NUTRIENT AGAR (DSMZ Medium 1),NA,O. Shida <-- NRRL NRS-1206.,NA,NA,NA,NA,NA,NA,NA,46.5,NA,NA
Brevibacillus,Brevibacillus reuszeri,Bacillus reuszeri,54915,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7,NA,NA
Brevibacillus,Brevibacillus reuszeri,Bacillus reuszeri,54915,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,REACTIVATION WITH LIQUID MEDIUM 1 (DSMZ Medium 1a),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,REACTIVATION WITH LIQUID MEDIUM 1 (DSMZ Medium 1a),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,REACTIVATION WITH LIQUID MEDIUM 1 (DSMZ Medium 1a),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,MINERAL MEDIUM (BRUNNER) (DSMZ Medium 457),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,REACTIVATION WITH TRYPTONE SOYA BROTH (DSMZ Medium 220a),NA,NA,NA,NA,NA,NA,NA,NA,NA,59.8,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,CASO AGAR (MERCK 105458) (DSMZ Medium 220),NA,NA,NA,NA,NA,NA,NA,NA,NA,59.6,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,REACTIVATION WITH TRYPTONE SOYA BROTH (DSMZ Medium 220a),NA,NA,NA,NA,NA,NA,NA,NA,NA,60.3,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,YEPG MEDIUM (DSMZ Medium 662),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,YEPG MEDIUM (DSMZ Medium 662),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,CASO AGAR (MERCK 105458) (DSMZ Medium 220),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,MINERAL MEDIUM WITH BENZYLCYANIDE AS NITROGEN SOURCE (DSMZ Medium 465d),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,CASO AGAR (MERCK 105458) (DSMZ Medium 220),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,CASO AGAR (MERCK 105458) (DSMZ Medium 220),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,REACTIVATION WITH TRYPTONE SOYA BROTH (DSMZ Medium 220a),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,REACTIVATION WITH TRYPTONE SOYA BROTH (DSMZ Medium 220a),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,REACTIVATION WITH TRYPTONE SOYA BROTH (DSMZ Medium 220a),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,CASO AGAR (MERCK 105458) (DSMZ Medium 220),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,REACTIVATION WITH LIQUID MEDIUM 1 (DSMZ Medium 1a),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,1215100,strain,yes,NUTRIENT AGAR (DSMZ Medium 1),NA,"Y. Kosako 85003 <-- Nissui Pharm. Co., Ltd. <-- ATCC 13525 <-- NCTC 10038 <-- M. E. Rhodes.",negative,1-2 µm,0.3-0.6 µm,NA,NA,no,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,REACTIVATION WITH LIQUID MEDIUM 1 (DSMZ Medium 1a),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,REACTIVATION WITH LIQUID MEDIUM (DSMZ Medium 535b),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,R2A MEDIUM (DSMZ Medium 830),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,REACTIVATION WITH LIQUID MEDIUM 1 (DSMZ Medium 1a),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,GLUCOSE YEAST EXTRACT MEDIUM (DSMZ Medium 54),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,GLUCOSE YEAST EXTRACT MEDIUM (DSMZ Medium 54),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,MEDIUM 72- for trypto casein soja agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,aerobe,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,MEDIUM 72- for trypto casein soja agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,MEDIUM 4 - Columbia agar with 20 % sterile defibrinated horse serum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,MEDIUM 72- for trypto casein soja agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,aerobe,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,aerobe,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,aerobe,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,aerobe,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,Nutrient Agar (NA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,Nutrient Agar (NA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,Nutrient Agar (NA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,Nutrient Agar (NA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,Nutrient Agar (NA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,Tryptic Soy Agar (TSA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,Nutrient Agar (NA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
