MAG_ID	ID	Mash_Distance	ANI	Con_DNA	Taxonomy_ID	Assembly_Status	Organism
MAG1 GCF_000253395.1	0.00028	99.99	99.85	1051074	complete	Streptococcus thermophilus JIM 8232
MAG1 GCF_009856565.1	0.00600	99.44	90.40	1308	complete	Streptococcus thermophilus EU01
MAG1 GCF_013307185.1	0.00637	99.38	87.90	1308	complete	Streptococcus thermophilus CS5
MAG1 GCF_002843115.1	0.00637	99.38	87.86	1308	complete	Streptococcus thermophilus DGCC 7710
MAG1 GCF_001008015.1	0.00638	99.38	87.79	1308	complete	Streptococcus thermophilus MN-BM-A02
MAG1 GCF_000698885.1	0.00642	99.38	87.78	1408178	complete	Streptococcus thermophilus ASCC 1275
MAG1 GCF_013307285.1	0.00639	99.38	87.75	1308	complete	Streptococcus thermophilus CS18
MAG1 GCF_001663795.1	0.00642	99.37	87.68	1308	complete	Streptococcus thermophilus KLDS SM
MAG1 GCF_001855705.1	0.00638	99.37	87.65	1308	complete	Streptococcus thermophilus ND07
MAG1 GCF_000014485.1	0.00691	99.35	87.52	322159	complete	Streptococcus thermophilus LMD-9
MAG1 GCF_000971665.1	0.00677	99.34	87.29	1308	complete	Streptococcus thermophilus SMQ-301
MAG1 GCF_004114735.1	0.00672	99.31	86.81	1308	complete	Streptococcus thermophilus IDCC2201
MAG1 GCF_903890795.1	0.00798	99.20	86.89	1308	complete	Streptococcus thermophilus
MAG1 GCF_002846075.1	0.00710	99.41	86.57	1308	complete	Streptococcus thermophilus GABA
MAG1 GCF_000262675.1	0.00736	99.33	86.44	1187956	complete	Streptococcus thermophilus MN-ZLW-002
MAG1 GCF_903891015.1	0.00738	99.33	86.39	1308	complete	Streptococcus thermophilus
MAG1 GCF_903886285.1	0.01100	99.30	86.07	1308	complete	Streptococcus thermophilus
MAG1 GCF_001280285.1	0.00744	99.32	85.89	1308	complete	Streptococcus thermophilus MN-BM-A01
MAG1 GCF_011801285.1	0.00765	99.29	85.79	1308	complete	Streptococcus thermophilus ST64987
MAG1 GCF_002286255.1	0.00800	99.30	85.62	1308	complete	Streptococcus thermophilus ST3
