#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
MAG05.fasta,MAG05_1,12111,13076,+,motY,1-966/966,===============,0/0,100.00,99.59,vfdb,NP_252216,(motY) probable outer membrane protein precursor [Deoxyhexose linking sugar 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_1,52378,53604,-,tse3,1-1227/1227,===============,0/0,100.00,99.43,vfdb,NP_252174,(tse3) type VI secretion system effector Tse3 glycoside hydrolase  [HSI-1 (Hcp-secretion island 1) (SS178)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_1,58874,59761,+,rhlA,1-888/888,===============,0/0,100.00,99.66,vfdb,NP_252169,(rhlA) rhamnosyltransferase chain A [Rhamnolipid (VF0089)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_1,59827,61107,+,rhlB,1-1281/1281,===============,0/0,100.00,99.22,vfdb,NP_252168,(rhlB) rhamnosyltransferase chain B [Rhamnolipid (VF0089)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_1,62137,62742,+,rhlI,1-606/606,===============,0/0,100.00,98.68,vfdb,NP_252166,(rhlI) autoinducer synthesis protein RhlL [Quorum sensing (VF0093)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_1,186853,187323,-,flgN,1-471/471,===============,0/0,100.00,98.73,vfdb,NP_252042,(flgN) flagella synthesis protein FlgN [Deoxyhexose linking sugar 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_1,187378,187701,-,flgM,1-324/324,===============,0/0,100.00,98.46,vfdb,NP_252041,(flgM) negative regulator of flagellin synthesis [Deoxyhexose linking sugar 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_1,187846,188544,-,flgA,1-699/699,===============,0/0,100.00,98.00,vfdb,NP_252040,(flgA) flagellar basal body P-ring biosynthesis protein FlgA [Deoxyhexose linking sugar 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_102,6185,7171,+,pvcA,1-987/987,===============,0/0,100.00,99.49,vfdb,NP_250944,(pvcA) paerucumarin biosynthesis protein PvcA [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_102,7189,8064,+,pvcB,1-876/876,===============,0/0,100.00,99.77,vfdb,NP_250945,(pvcB) paerucumarin biosynthesis protein PvcB [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1],
